Group,Genus,Species,Paper,Authors,Journal,Peer_reviewed,Year,Link,Sex,Experiment_location,Swarming_time,Copula_observed,Swarming.duration..min.,Start..relative.to.sunrise.,Start..relative.to.sunset.,Sweep_net_used,Males.collected..field.,Swarm.size.by.eye..field.,Height..m.above.ground.
Ae. punctor,Aedes,punctor,The swarming habits of some Danish mosquitoes,Nielsen E.T. ; Nielsen H.T. ,Ent. Meddr.,Y,1963,,Male,Field,Dusk,N,,,,Y,,,
Ae. rusticus,Aedes,rusticus,The swarming habits of some Danish mosquitoes,Nielsen E.T. ; Nielsen H.T. ,Ent. Meddr.,Y,1963,,Male,Field,Dusk,Y,,,,Y,,,1.75
Ae. stimulans,Aedes,stimulans,Swarming and Mating of Univoltine Aedes Mosquitoes in the Laboratory,McDaniel I.N.,Journal of the American Mosquito Control Association,Y,1986,https://pubmed.ncbi.nlm.nih.gov/3507505/,Male,Lab,Dusk,Y,40,,,N,,,
Ae. stimulans,Aedes,stimulans,Swarming and Mating of Univoltine Aedes Mosquitoes in the Laboratory,McDaniel I.N.,Journal of the American Mosquito Control Association,Y,1986,https://pubmed.ncbi.nlm.nih.gov/3507505/,Male,Lab,Daylight,Y,,,,N,,,
Ae. taeniorhynchus,Aedes,taeniorhynchus,Field Observations on the Habits of Aedes Taeniorhynchus,Nielsen E.T. ; Nielsen A.T. ,Ecology,Y,1953,https://doi.org/10.2307/1930314,Male,Field,Dusk,N,28,,18,N,,55,2.5
Ae. taeniorhynchus,Aedes,taeniorhynchus,Acoustical detection of Aedes taeniorhynchus swarms and emergence exoduses in remote salt marshes,Mankin R.W.,Journal of the American Mosquito Control Association,Y,1994,https://pubmed.ncbi.nlm.nih.gov/8965083/,Male,Lab,Dusk,N,75,,,N,,,
Ae. taeniorhynchus,Aedes,taeniorhynchus,Acoustical detection of Aedes taeniorhynchus swarms and emergence exoduses in remote salt marshes,Mankin R.W.,Journal of the American Mosquito Control Association,Y,1994,https://www.biodiversitylibrary.org/content/part/JAMCA/JAMCA_V10_N2_P302-308.pdf,Male,Field,Dusk,N,,,35,N,,,
Ae. taeniorhynchus,Aedes,taeniorhynchus,SWARMING OF MOSQUITOES. Laboratory Experiments Under Controlled Conditions,Nielsen H.T. ; Nielsen E.T. ,Entomological Experiments and Applications,Y,1962,https://doi.org/10.1111/j.1570-7458.1962.tb00561.x,Male,Lab,Dawn,N,,,,N,,,
Ae. taeniorhynchus,Aedes,taeniorhynchus,SWARMING OF MOSQUITOES. Laboratory Experiments Under Controlled Conditions,Nielsen H.T. ; Nielsen E.T. ,Entomological Experiments and Applications,Y,1962,https://doi.org/10.1111/j.1570-7458.1962.tb00561.x,Male,Lab,Dusk,N,,,,N,,,
Ae. triseriatus,Aedes,triseriatus,Sexual Behavior Maturation in Male Aedes Triseriatus (Diptera: Culicidae): A Re-Examination,Foster W.A.; Lea A.O.,Journal of Medical Entomology,Y,1975,https://doi.org/10.1093/jmedent/12.4.459,Male,Lab,Dusk,Y,55,,,N,,,
